Sleep Stage,MeanP_Alpha_F4,MeanP_Beta_F4,MeanP_Theta_F4,MeanP_Delta_F4,MeanP_Gamma_F4,MeanP_Alpha_C4,MeanP_Beta_C4,MeanP_Theta_C4,MeanP_Delta_C4,MeanP_Gamma_C4,MeanP_Alpha_O2,MeanP_Beta_O2,MeanP_Theta_O2,MeanP_Delta_O2,MeanP_Gamma_O2,Total_P_F4,Total_P_C4,Total_P_O2,Relative_MeanP_Alpha_F4,Relative_MeanP_Beta_F4,Relative_MeanP_Theta_F4,Relative_MeanP_Delta_F4,Relative_MeanP_Gamma_F4,Relative_MeanP_Alpha_C4,Relative_MeanP_Beta_C4,Relative_MeanP_Theta_C4,Relative_MeanP_Delta_C4,Relative_MeanP_Gamma_C4,Relative_MeanP_Alpha_O2,Relative_MeanP_Beta_O2,Relative_MeanP_Theta_O2,Relative_MeanP_Delta_O2,Relative_MeanP_Gamma_O2,Relative_MeanP_Alpha_G,Relative_MeanP_Beta_G,Relative_MeanP_Theta_G,Relative_MeanP_Delta_G,Relative_MeanP_Gamma_G,DAR_F4,DAR_C4,DAR_O2,DAR_G,DTR_F4,DTR_O2,DTABR_F4,DTABR_C4,DTABR_O2,DTABR_G,P_G
R,0.00029,0.00024,0.00049,0.00264,2.69e-05,0.00036,0.00031,0.00067,0.00282,3.35e-05,0.00025,0.00022,0.00028,0.001,2.39e-05,0.00369,0.00419,0.00177,0.0787,0.0651,0.133,0.716,0.0073,0.0858,0.0739,0.16,0.672,0.00799,0.141,0.124,0.158,0.564,0.0135,0.305,0.263,0.451,1.95,0.0288,9.1,7.83,4.0,6.98,5.39,3.57,5.91,5.21,2.72,4.61,0.00322
R,0.00033,0.00034,0.00044,0.00179,3.46e-05,0.00042,0.00047,0.00058,0.00207,4.72e-05,0.00024,0.00023,0.00029,0.00092,2.7e-05,0.00293,0.00359,0.00171,0.112,0.116,0.15,0.61,0.0118,0.117,0.131,0.162,0.577,0.0132,0.141,0.135,0.17,0.539,0.0158,0.37,0.382,0.482,1.73,0.0408,5.42,4.93,3.83,4.73,4.07,3.17,3.33,2.98,2.57,2.96,0.00274
R,0.00028,0.00026,0.00046,0.0022,2.82e-05,0.00037,0.00034,0.00067,0.00222,3.48e-05,0.0002,0.00019,0.0003,0.00085,2.38e-05,0.00323,0.00363,0.00156,0.0867,0.0805,0.142,0.681,0.00874,0.102,0.0935,0.184,0.611,0.00957,0.128,0.121,0.192,0.544,0.0152,0.316,0.296,0.519,1.84,0.0335,7.86,6.0,4.25,6.04,4.78,2.83,4.93,4.07,2.95,3.98,0.00281
R,0.00027,0.00026,0.00045,0.00216,2.96e-05,0.00033,0.00033,0.00055,0.00228,3.7e-05,0.00019,0.0002,0.00027,0.00096,2.4e-05,0.00317,0.00353,0.00164,0.0852,0.082,0.142,0.681,0.00934,0.0936,0.0936,0.156,0.646,0.0105,0.116,0.122,0.164,0.584,0.0146,0.294,0.297,0.462,1.91,0.0344,8.0,6.91,5.05,6.65,4.8,3.56,4.92,4.29,3.15,4.12,0.00278
R,0.0003,0.00026,0.00061,0.00443,2.92e-05,0.00036,0.0003,0.00078,0.00428,3.36e-05,0.0002,0.00019,0.00033,0.00132,2.41e-05,0.00563,0.00575,0.00206,0.0533,0.0462,0.108,0.787,0.00519,0.0626,0.0521,0.136,0.744,0.00584,0.0969,0.092,0.16,0.64,0.0117,0.213,0.19,0.404,2.17,0.0227,14.8,11.9,6.6,11.1,7.26,4.0,9.0,7.67,4.23,6.97,0.00448
R,0.00034,0.00031,0.00054,0.00194,3.28e-05,0.00044,0.00041,0.00075,0.0022,4.27e-05,0.00034,0.00027,0.00041,0.00111,2.81e-05,0.00316,0.00384,0.00216,0.107,0.098,0.171,0.613,0.0104,0.115,0.107,0.195,0.573,0.0111,0.158,0.125,0.19,0.514,0.013,0.38,0.33,0.556,1.7,0.0345,5.71,5.0,3.26,4.66,3.59,2.71,3.82,3.47,2.49,3.26,0.00305
R,0.00037,0.0003,0.00053,0.00186,3e-05,0.00044,0.00036,0.00074,0.00236,3.51e-05,0.00034,0.00028,0.00038,0.00091,2.76e-05,0.00309,0.00394,0.00194,0.12,0.0971,0.172,0.602,0.00971,0.112,0.0915,0.188,0.6,0.00892,0.175,0.145,0.196,0.47,0.0142,0.407,0.333,0.556,1.67,0.0329,5.03,5.36,2.68,4.36,3.51,2.39,3.57,3.88,2.08,3.17,0.00299
R,0.00033,0.00032,0.00056,0.00198,3.19e-05,0.00039,0.00037,0.00069,0.00288,3.89e-05,0.00021,0.0002,0.0003,0.00117,2.36e-05,0.00322,0.00437,0.0019,0.102,0.0993,0.174,0.615,0.0099,0.0893,0.0847,0.158,0.659,0.0089,0.11,0.105,0.158,0.615,0.0124,0.302,0.289,0.489,1.89,0.0312,6.0,7.38,5.57,6.32,3.54,3.9,3.91,4.7,3.59,4.06,0.00316
R,0.00033,0.00028,0.00059,0.0042,2.93e-05,0.00038,0.00032,0.00074,0.00247,3.39e-05,0.0002,0.00019,0.0003,0.00114,2.39e-05,0.00543,0.00394,0.00185,0.0608,0.0516,0.109,0.774,0.0054,0.0964,0.0811,0.188,0.626,0.0086,0.108,0.102,0.162,0.615,0.0129,0.265,0.235,0.458,2.01,0.0269,12.7,6.5,5.7,8.31,7.12,3.8,7.85,4.59,3.69,5.38,0.00374
R,0.00034,0.00029,0.00057,0.00199,2.98e-05,0.00041,0.00035,0.00078,0.00225,3.71e-05,0.0002,0.0002,0.00029,0.00092,2.36e-05,0.00322,0.00383,0.00163,0.106,0.0901,0.177,0.618,0.00926,0.107,0.0915,0.204,0.588,0.00969,0.122,0.122,0.178,0.563,0.0144,0.335,0.304,0.558,1.77,0.0334,5.85,5.49,4.6,5.31,3.49,3.17,4.06,3.99,3.03,3.69,0.00289
R,0.00034,0.00029,0.00062,0.00175,3.02e-05,0.0004,0.00035,0.00074,0.00237,3.74e-05,0.00022,0.0002,0.00035,0.0009,2.33e-05,0.00303,0.0039,0.00169,0.112,0.0957,0.205,0.578,0.00997,0.103,0.0898,0.19,0.608,0.0096,0.13,0.118,0.207,0.532,0.0138,0.345,0.304,0.601,1.72,0.0333,5.15,5.93,4.09,5.05,2.82,2.57,3.76,4.15,2.98,3.63,0.00287
R,0.00029,0.00023,0.00059,0.00348,2.69e-05,0.00034,0.00026,0.00074,0.00309,2.98e-05,0.00017,0.00016,0.00026,0.00101,2.16e-05,0.00462,0.00446,0.00162,0.0628,0.0498,0.128,0.754,0.00583,0.0762,0.0583,0.166,0.693,0.00668,0.105,0.0987,0.16,0.623,0.0133,0.244,0.207,0.454,2.07,0.0258,12.0,9.09,5.94,9.01,5.9,3.88,7.83,6.38,3.85,6.02,0.00357
R,0.00026,0.00024,0.00049,0.00209,2.76e-05,0.00032,0.00027,0.00066,0.00225,3.09e-05,0.00017,0.00017,0.00024,0.00109,2.33e-05,0.00311,0.00353,0.00169,0.0837,0.0772,0.158,0.673,0.00888,0.0906,0.0765,0.187,0.637,0.00875,0.1,0.1,0.142,0.644,0.0138,0.275,0.254,0.486,1.95,0.0314,8.04,7.03,6.41,7.16,4.27,4.54,5.16,4.93,3.91,4.67,0.00278
R,0.00031,0.00027,0.00052,0.00251,2.96e-05,0.00036,0.00029,0.00066,0.0023,3.12e-05,0.00022,0.00021,0.00031,0.00096,2.55e-05,0.00364,0.00364,0.00173,0.0852,0.0742,0.143,0.69,0.00813,0.0989,0.0796,0.181,0.632,0.00857,0.127,0.122,0.18,0.556,0.0148,0.312,0.276,0.504,1.88,0.0315,8.1,6.39,4.36,6.28,4.83,3.1,5.22,4.55,2.95,4.24,0.003
R,0.00031,0.00027,0.00055,0.00215,2.86e-05,0.00038,0.00029,0.00075,0.0029,2.97e-05,0.00024,0.00022,0.00029,0.00108,2.38e-05,0.00331,0.00435,0.00185,0.0937,0.0816,0.166,0.65,0.00864,0.0874,0.0667,0.172,0.667,0.00683,0.129,0.119,0.156,0.583,0.0128,0.311,0.267,0.495,1.9,0.0283,6.94,7.63,4.5,6.36,3.91,3.72,4.66,5.45,2.98,4.36,0.00317
R,0.00032,0.0003,0.00051,0.00175,3.13e-05,0.00042,0.00039,0.00071,0.00204,3.92e-05,0.0002,0.00018,0.00033,0.00094,2.32e-05,0.00291,0.0036,0.00167,0.11,0.103,0.175,0.601,0.0108,0.117,0.108,0.197,0.567,0.0109,0.12,0.108,0.197,0.562,0.0139,0.346,0.319,0.57,1.73,0.0355,5.47,4.86,4.7,5.01,3.43,2.85,3.65,3.4,3.34,3.46,0.00273
R,0.00029,0.00023,0.00056,0.00519,2.68e-05,0.00033,0.00026,0.00065,0.00301,3.07e-05,0.00015,0.00015,0.00024,0.00106,2.21e-05,0.0063,0.00428,0.00162,0.0461,0.0365,0.0889,0.824,0.00426,0.0771,0.0607,0.152,0.703,0.00717,0.0925,0.0925,0.148,0.653,0.0136,0.216,0.19,0.389,2.18,0.0251,17.9,9.12,7.07,11.4,9.27,4.42,11.1,6.2,4.33,7.2,0.00407
R,0.00026,0.00022,0.00052,0.00283,2.57e-05,0.00032,0.00024,0.00072,0.0028,2.97e-05,0.00016,0.00015,0.00024,0.00106,2.16e-05,0.00386,0.00411,0.00163,0.0674,0.0571,0.135,0.734,0.00667,0.0779,0.0584,0.175,0.681,0.00723,0.0981,0.0919,0.147,0.65,0.0132,0.243,0.207,0.457,2.06,0.0271,10.9,8.75,6.63,8.75,5.44,4.42,6.98,6.29,4.19,5.82,0.0032
R,0.00028,0.00024,0.00045,0.00161,2.8e-05,0.00034,0.00029,0.00063,0.00206,3.21e-05,0.00018,0.00018,0.00029,0.00095,2.41e-05,0.00261,0.00335,0.00162,0.107,0.092,0.173,0.617,0.0107,0.101,0.0865,0.188,0.615,0.00958,0.111,0.111,0.179,0.585,0.0148,0.32,0.289,0.539,1.82,0.0352,5.75,6.06,5.28,5.7,3.58,3.28,3.96,4.27,3.44,3.89,0.00253
R,0.00028,0.00023,0.00061,0.00693,2.73e-05,0.00033,0.00027,0.00082,0.00412,3.03e-05,0.00019,0.00018,0.00031,0.00132,2.29e-05,0.00808,0.00557,0.00202,0.0347,0.0285,0.0755,0.858,0.00338,0.0592,0.0485,0.147,0.74,0.00544,0.0939,0.089,0.153,0.653,0.0113,0.188,0.166,0.376,2.25,0.0201,24.8,12.5,6.95,14.7,11.4,4.26,14.8,8.23,4.41,9.14,0.00522
R,0.00027,0.00024,0.00047,0.00269,2.9e-05,0.00032,0.00029,0.00062,0.00226,3.32e-05,0.0002,0.0002,0.00024,0.00065,2.35e-05,0.0037,0.00352,0.00131,0.073,0.0649,0.127,0.727,0.00784,0.0908,0.0823,0.176,0.641,0.00942,0.152,0.152,0.183,0.495,0.0179,0.316,0.299,0.486,1.86,0.0352,9.96,7.06,3.25,6.76,5.72,2.71,6.2,4.72,2.23,4.38,0.00285
R,0.00029,0.00027,0.0005,0.00182,3.11e-05,0.00036,0.00036,0.00072,0.00239,4.21e-05,0.00018,0.00019,0.00027,0.00088,2.64e-05,0.00291,0.00387,0.00155,0.0996,0.0927,0.172,0.625,0.0107,0.093,0.093,0.186,0.617,0.0109,0.116,0.123,0.175,0.569,0.0171,0.309,0.309,0.532,1.81,0.0386,6.28,6.64,4.89,5.93,3.64,3.26,4.14,4.32,3.11,3.86,0.00278
R,0.00026,0.00025,0.00047,0.00147,2.93e-05,0.00037,0.00034,0.00073,0.00216,3.86e-05,0.00018,0.00019,0.00026,0.00102,2.36e-05,0.00248,0.00364,0.00167,0.105,0.101,0.19,0.593,0.0118,0.102,0.0934,0.201,0.594,0.0106,0.108,0.114,0.155,0.609,0.0141,0.314,0.308,0.546,1.8,0.0365,5.65,5.84,5.67,5.72,3.13,3.92,3.8,4.07,3.46,3.78,0.0026
R,0.00038,0.00029,0.00061,0.00201,2.94e-05,0.00052,0.00037,0.00093,0.0024,3.49e-05,0.00031,0.00026,0.00042,0.00107,2.75e-05,0.00332,0.00425,0.00209,0.114,0.0874,0.184,0.606,0.00886,0.122,0.087,0.219,0.564,0.0082,0.149,0.125,0.201,0.513,0.0132,0.385,0.299,0.604,1.68,0.0302,5.29,4.62,3.45,4.45,3.3,2.55,3.91,3.74,2.61,3.42,0.00322
R,0.00031,0.00024,0.00056,0.00161,2.71e-05,0.00035,0.00027,0.00073,0.00213,3.05e-05,0.00019,0.00018,0.00028,0.0008,2.37e-05,0.00275,0.00351,0.00147,0.113,0.0874,0.204,0.586,0.00986,0.0997,0.0769,0.208,0.607,0.00869,0.129,0.122,0.19,0.543,0.0161,0.341,0.286,0.602,1.74,0.0346,5.19,6.09,4.21,5.16,2.88,2.86,3.95,4.61,2.92,3.83,0.00258
R,0.00035,0.00029,0.00071,0.00391,2.99e-05,0.00042,0.00033,0.00093,0.00344,3.53e-05,0.00019,0.00018,0.00032,0.00124,2.31e-05,0.00529,0.00516,0.00195,0.0662,0.0548,0.134,0.739,0.00565,0.0815,0.064,0.18,0.667,0.00685,0.0973,0.0922,0.164,0.635,0.0118,0.245,0.211,0.478,2.04,0.0243,11.2,8.19,6.53,8.63,5.51,3.88,7.22,5.83,4.22,5.75,0.00413
R,0.00026,0.00022,0.00043,0.00191,2.67e-05,0.00031,0.00027,0.00055,0.00197,3.23e-05,0.00018,0.00017,0.00024,0.00074,2.3e-05,0.00285,0.00313,0.00135,0.0913,0.0773,0.151,0.671,0.00938,0.099,0.0862,0.176,0.629,0.0103,0.133,0.126,0.177,0.547,0.017,0.323,0.289,0.504,1.85,0.0367,7.35,6.35,4.11,5.94,4.44,3.08,4.88,4.34,2.8,4.01,0.00244
R,0.00029,0.00023,0.00048,0.00203,2.54e-05,0.00035,0.00029,0.00061,0.00232,3.22e-05,0.00022,0.00021,0.00028,0.00085,2.45e-05,0.00306,0.0036,0.00158,0.0949,0.0753,0.157,0.664,0.00831,0.0972,0.0805,0.169,0.644,0.00894,0.139,0.133,0.177,0.536,0.0155,0.331,0.288,0.503,1.84,0.0327,7.0,6.63,3.86,5.83,4.23,3.04,4.83,4.58,2.63,4.01,0.00275
R,0.00036,0.00034,0.00057,0.00171,3.38e-05,0.0005,0.00054,0.00073,0.00203,5.32e-05,0.00025,0.00024,0.00031,0.00102,2.81e-05,0.00301,0.00385,0.00185,0.119,0.113,0.189,0.567,0.0112,0.13,0.14,0.189,0.527,0.0138,0.135,0.13,0.168,0.552,0.0152,0.384,0.383,0.546,1.65,0.0402,4.75,4.06,4.08,4.3,3.0,3.29,3.26,2.65,2.71,2.88,0.00291
W,0.0007,0.00179,0.0006,0.00405,0.00084,0.00077,0.00167,0.00075,0.00296,0.00067,0.00075,0.00159,0.00053,0.00285,0.00069,0.00798,0.00682,0.00641,0.0877,0.224,0.0752,0.508,0.105,0.113,0.245,0.11,0.434,0.0982,0.117,0.248,0.0827,0.445,0.108,0.318,0.717,0.268,1.39,0.311,5.79,3.84,3.8,4.48,6.75,5.38,1.87,1.52,1.44,1.61,0.00707
W,0.00041,0.0004,0.0005,0.00148,3.89e-05,0.00058,0.00062,0.00063,0.00162,5.85e-05,0.00031,0.00028,0.00034,0.00108,2.96e-05,0.00283,0.00351,0.00204,0.145,0.141,0.177,0.523,0.0138,0.165,0.177,0.18,0.462,0.0167,0.152,0.137,0.167,0.53,0.0145,0.462,0.455,0.523,1.51,0.0449,3.61,2.79,3.48,3.3,2.96,3.18,2.44,1.88,2.41,2.24,0.00279
N2,0.00051,0.00042,0.00113,0.011,3.66e-05,0.00067,0.00058,0.00126,0.00679,4.72e-05,0.00031,0.00024,0.00048,0.00109,2.57e-05,0.013,0.00935,0.00215,0.0391,0.0322,0.0866,0.839,0.00281,0.0717,0.0621,0.135,0.726,0.00505,0.144,0.112,0.224,0.508,0.012,0.255,0.206,0.445,2.07,0.0198,21.5,10.1,3.52,11.7,9.69,2.27,13.0,6.44,2.85,7.43,0.00818
N2,0.00033,0.00032,0.00046,0.00329,3.02e-05,0.00044,0.00049,0.00063,0.00285,4.14e-05,0.0002,0.0002,0.00026,0.00083,2.42e-05,0.00443,0.00445,0.00151,0.0745,0.0722,0.104,0.743,0.00682,0.0988,0.11,0.142,0.64,0.0093,0.132,0.132,0.172,0.548,0.016,0.305,0.314,0.417,1.93,0.0321,9.97,6.48,4.15,6.87,7.15,3.19,5.77,3.74,2.73,4.08,0.00347
N2,0.00058,0.00048,0.00095,0.0161,3.48e-05,0.00073,0.00065,0.0011,0.0109,4.35e-05,0.0003,0.00027,0.00045,0.00211,2.62e-05,0.0181,0.0134,0.00316,0.032,0.0265,0.0525,0.887,0.00192,0.0543,0.0484,0.0818,0.812,0.00324,0.0951,0.0855,0.143,0.669,0.0083,0.181,0.16,0.277,2.37,0.0135,27.7,15.0,7.03,16.6,16.9,4.69,16.0,8.71,4.49,9.75,0.0116
N2,0.00072,0.00048,0.00142,0.0129,3.33e-05,0.00073,0.00053,0.00165,0.00999,3.73e-05,0.00033,0.00027,0.0005,0.00146,2.51e-05,0.0155,0.0129,0.00259,0.0464,0.0309,0.0915,0.829,0.00215,0.0564,0.041,0.128,0.772,0.00288,0.128,0.104,0.193,0.565,0.00971,0.23,0.176,0.412,2.17,0.0147,17.9,13.7,4.42,12.0,9.06,2.92,11.9,9.24,3.27,8.13,0.0103
N2,0.00045,0.00037,0.00079,0.0061,3.19e-05,0.00061,0.00051,0.0012,0.00579,3.85e-05,0.00026,0.00023,0.00042,0.00136,2.48e-05,0.00774,0.00815,0.00229,0.0581,0.0478,0.102,0.788,0.00412,0.0749,0.0626,0.147,0.711,0.00472,0.113,0.1,0.183,0.593,0.0108,0.246,0.211,0.432,2.09,0.0197,13.6,9.49,5.23,9.43,7.72,3.24,8.4,6.24,3.63,6.09,0.00606
N2,0.00045,0.00033,0.00079,0.00663,2.9e-05,0.00059,0.00045,0.00109,0.00656,3.28e-05,0.00028,0.00023,0.00045,0.0013,2.46e-05,0.00823,0.00872,0.00228,0.0547,0.0401,0.096,0.806,0.00352,0.0676,0.0516,0.125,0.752,0.00376,0.123,0.101,0.197,0.569,0.0108,0.245,0.192,0.418,2.13,0.0181,14.7,11.1,4.64,10.2,8.39,2.89,9.51,7.36,3.43,6.77,0.00641
N2,0.00045,0.00036,0.00071,0.00361,3e-05,0.00072,0.00061,0.00109,0.00625,3.96e-05,0.00031,0.00026,0.00043,0.0014,2.51e-05,0.00516,0.00871,0.00243,0.0872,0.0698,0.138,0.7,0.00581,0.0827,0.07,0.125,0.718,0.00455,0.128,0.107,0.177,0.577,0.0104,0.298,0.247,0.44,1.99,0.0207,8.02,8.68,4.52,7.07,5.08,3.26,5.33,5.52,3.21,4.69,0.00543
N2,0.00051,0.00038,0.00077,0.00436,3.16e-05,0.00057,0.00043,0.00106,0.00648,3.38e-05,0.0003,0.00024,0.00047,0.00161,2.6e-05,0.00605,0.00857,0.00265,0.0843,0.0628,0.127,0.72,0.00522,0.0665,0.0502,0.124,0.756,0.00394,0.113,0.0907,0.178,0.608,0.00983,0.264,0.204,0.428,2.08,0.019,8.55,11.4,5.37,8.43,5.66,3.43,5.76,7.54,3.85,5.72,0.00576
N1,0.00078,0.00114,0.00096,0.00598,0.00042,0.00074,0.00116,0.00087,0.00406,0.00044,0.00052,0.00099,0.0006,0.00305,0.00044,0.00928,0.00727,0.0056,0.0841,0.123,0.103,0.644,0.0453,0.102,0.16,0.12,0.558,0.0605,0.0929,0.177,0.107,0.545,0.0786,0.279,0.459,0.33,1.75,0.184,7.67,5.49,5.87,6.34,6.23,5.08,3.61,2.59,2.42,2.88,0.00738
N2,0.00069,0.00174,0.00072,0.0127,0.00073,0.00075,0.0019,0.00068,0.00762,0.00075,0.00056,0.00163,0.00065,0.0104,0.00073,0.0165,0.0117,0.014,0.0417,0.105,0.0436,0.765,0.0442,0.0641,0.162,0.0581,0.651,0.0641,0.04,0.116,0.0464,0.745,0.0521,0.146,0.384,0.148,2.16,0.16,18.3,10.2,18.6,15.7,17.6,16.1,5.5,3.13,5.06,4.57,0.0141
N2,0.00071,0.00091,0.00112,0.0303,0.00031,0.00069,0.00087,0.00115,0.0107,0.00026,0.00035,0.00053,0.00042,0.00212,0.00019,0.0333,0.0137,0.00361,0.0213,0.0273,0.0336,0.909,0.0093,0.0504,0.0636,0.0841,0.783,0.019,0.097,0.147,0.116,0.587,0.0526,0.169,0.238,0.234,2.28,0.0809,42.7,15.5,6.06,21.4,27.0,5.05,19.4,7.6,2.89,9.96,0.0169
N2,0.00039,0.00039,0.00062,0.00473,6.92e-05,0.00042,0.00047,0.00069,0.00287,7.72e-05,0.00022,0.00022,0.00038,0.00129,5.34e-05,0.0062,0.00453,0.00216,0.0629,0.0629,0.1,0.763,0.0112,0.0928,0.104,0.152,0.634,0.0171,0.102,0.102,0.176,0.596,0.0247,0.257,0.268,0.428,1.99,0.0529,12.1,6.83,5.86,8.28,7.63,3.39,6.86,4.0,3.8,4.88,0.0043
N2,0.00055,0.00046,0.00065,0.00246,3.89e-05,0.00075,0.00062,0.00105,0.00313,4.56e-05,0.00029,0.00023,0.00044,0.00127,2.46e-05,0.00416,0.0056,0.00225,0.132,0.111,0.156,0.592,0.00935,0.134,0.111,0.188,0.559,0.00815,0.129,0.102,0.195,0.563,0.0109,0.395,0.323,0.539,1.71,0.0284,4.47,4.17,4.38,4.34,3.78,2.89,3.08,3.05,3.29,3.14,0.004
N2,0.00067,0.00046,0.00102,0.00411,3.84e-05,0.00099,0.0007,0.00193,0.00604,4.52e-05,0.00029,0.0002,0.00056,0.00142,2.42e-05,0.0063,0.00971,0.00249,0.106,0.073,0.162,0.653,0.0061,0.102,0.0721,0.199,0.622,0.00466,0.116,0.0802,0.225,0.569,0.0097,0.325,0.225,0.585,1.84,0.0205,6.13,6.1,4.9,5.71,4.03,2.54,4.54,4.72,4.04,4.43,0.00617
N2,0.00061,0.00044,0.0011,0.00692,4.16e-05,0.00077,0.00057,0.00153,0.00734,4.44e-05,0.00028,0.0002,0.0005,0.00205,2.49e-05,0.00911,0.0103,0.00305,0.0669,0.0483,0.121,0.759,0.00457,0.0751,0.0556,0.149,0.716,0.00433,0.0917,0.0655,0.164,0.671,0.00815,0.234,0.169,0.434,2.15,0.017,11.3,9.53,7.32,9.4,6.29,4.1,7.64,6.62,5.31,6.52,0.00747
N2,0.00037,0.0003,0.00063,0.00258,3.66e-05,0.0005,0.00041,0.00084,0.00281,4.05e-05,0.00021,0.00017,0.00033,0.00112,2.51e-05,0.00392,0.0046,0.00186,0.0945,0.0766,0.161,0.659,0.00934,0.109,0.0891,0.183,0.611,0.0088,0.113,0.0916,0.178,0.604,0.0135,0.316,0.257,0.521,1.87,0.0317,6.97,5.62,5.33,5.98,4.1,3.39,4.79,4.01,3.82,4.21,0.00346
N2,0.00074,0.00056,0.00092,0.00355,4.09e-05,0.001,0.00079,0.00138,0.00667,4.87e-05,0.0003,0.00024,0.00046,0.00156,2.51e-05,0.00581,0.00989,0.00259,0.127,0.0964,0.158,0.611,0.00704,0.101,0.0799,0.14,0.675,0.00492,0.116,0.0928,0.178,0.603,0.00971,0.345,0.269,0.476,1.89,0.0217,4.8,6.67,5.2,5.56,3.86,3.39,3.44,4.5,3.74,3.89,0.00609
N2,0.00068,0.00052,0.00084,0.00292,4.18e-05,0.00105,0.00084,0.00134,0.00449,4.8e-05,0.00028,0.00021,0.00051,0.00169,2.38e-05,0.005,0.00777,0.00271,0.136,0.104,0.168,0.584,0.00836,0.135,0.108,0.173,0.578,0.00618,0.103,0.0774,0.188,0.623,0.00877,0.374,0.289,0.528,1.78,0.0233,4.29,4.28,6.04,4.87,3.48,3.31,3.13,3.08,4.49,3.57,0.00516
N2,0.0007,0.00052,0.00098,0.00674,4.09e-05,0.00111,0.00089,0.0014,0.00841,5.15e-05,0.00034,0.00025,0.00046,0.00159,2.56e-05,0.00898,0.0119,0.00267,0.0779,0.0579,0.109,0.75,0.00455,0.0936,0.075,0.118,0.709,0.00434,0.128,0.0938,0.173,0.596,0.0096,0.299,0.227,0.4,2.06,0.0185,9.63,7.58,4.68,7.29,6.88,3.46,6.33,4.91,3.47,4.9,0.00784
N2,0.00058,0.0004,0.00126,0.00585,3.66e-05,0.00078,0.00053,0.00183,0.00728,4.06e-05,0.00031,0.0002,0.00061,0.0017,2.31e-05,0.00813,0.0105,0.00284,0.0714,0.0492,0.155,0.72,0.0045,0.0746,0.0507,0.175,0.696,0.00388,0.109,0.0703,0.215,0.598,0.00812,0.255,0.17,0.545,2.01,0.0165,10.1,9.33,5.48,8.3,4.64,2.79,7.26,6.95,4.53,6.25,0.00714
N2,0.00047,0.00035,0.00079,0.00367,3.64e-05,0.0006,0.00043,0.00117,0.00461,3.66e-05,0.00026,0.00018,0.00053,0.00194,2.34e-05,0.00532,0.00685,0.00293,0.0884,0.0658,0.149,0.69,0.00685,0.0876,0.0628,0.171,0.673,0.00535,0.0886,0.0614,0.181,0.661,0.00798,0.265,0.19,0.5,2.02,0.0202,7.81,7.68,7.46,7.65,4.65,3.66,5.44,5.61,5.61,5.55,0.00503
N2,0.00055,0.00037,0.00095,0.00346,3.74e-05,0.00062,0.00044,0.00119,0.00432,3.7e-05,0.00026,0.00017,0.00049,0.00156,2.27e-05,0.00537,0.00661,0.0025,0.102,0.0689,0.177,0.645,0.00697,0.0938,0.0666,0.18,0.654,0.0056,0.104,0.0679,0.196,0.623,0.00907,0.3,0.203,0.553,1.92,0.0216,6.29,6.97,6.0,6.42,3.64,3.18,4.79,5.2,4.77,4.92,0.00483
N2,0.00056,0.0004,0.00135,0.0127,3.77e-05,0.00075,0.00057,0.00147,0.014,4.02e-05,0.00026,0.00018,0.00051,0.0032,2.24e-05,0.0151,0.0168,0.00417,0.0372,0.0265,0.0896,0.844,0.0025,0.0446,0.0339,0.0874,0.832,0.00239,0.0623,0.0431,0.122,0.767,0.00537,0.144,0.104,0.299,2.44,0.0103,22.7,18.6,12.3,17.9,9.42,6.27,14.7,11.7,8.43,11.6,0.012
N2,0.00053,0.00038,0.00085,0.00341,3.61e-05,0.00066,0.00048,0.00113,0.00459,3.7e-05,0.00023,0.00017,0.00043,0.00168,2.21e-05,0.00521,0.0069,0.00253,0.102,0.073,0.163,0.655,0.00693,0.0957,0.0696,0.164,0.666,0.00536,0.0908,0.0671,0.17,0.663,0.00873,0.288,0.21,0.497,1.98,0.021,6.43,6.95,7.3,6.9,4.01,3.91,4.68,5.02,5.28,4.99,0.00488
N2,0.00083,0.00059,0.001,0.00362,4.12e-05,0.00116,0.00091,0.00139,0.00421,4.92e-05,0.00033,0.00024,0.00055,0.00151,2.45e-05,0.00608,0.00772,0.00265,0.136,0.097,0.164,0.595,0.00677,0.15,0.118,0.18,0.545,0.00637,0.124,0.0904,0.207,0.569,0.00923,0.411,0.305,0.552,1.71,0.0224,4.36,3.63,4.58,4.19,3.62,2.75,3.25,2.71,3.61,3.19,0.00548
N2,0.00083,0.00055,0.00111,0.00495,3.94e-05,0.00102,0.00072,0.00175,0.00776,4.27e-05,0.0003,0.0002,0.00063,0.00244,2.32e-05,0.00748,0.0113,0.00359,0.111,0.0735,0.148,0.662,0.00527,0.0903,0.0638,0.155,0.687,0.00378,0.0835,0.0557,0.175,0.679,0.00646,0.285,0.193,0.479,2.03,0.0155,5.96,7.61,8.13,7.24,4.46,3.87,4.39,5.47,6.14,5.33,0.00746
N2,0.00088,0.0006,0.00114,0.00487,4.24e-05,0.0013,0.00099,0.00173,0.00706,5.18e-05,0.00036,0.00027,0.00056,0.00268,2.73e-05,0.00753,0.0111,0.0039,0.117,0.0797,0.151,0.647,0.00563,0.117,0.0889,0.155,0.634,0.00465,0.0924,0.0693,0.144,0.688,0.007,0.326,0.238,0.45,1.97,0.0173,5.53,5.43,7.44,6.14,4.27,4.79,4.06,3.84,5.14,4.35,0.00752
